text,image
"🚀 Ordzaar's anti-frontrunning features make minting secure and fair for all users. Join the revolution today!
#ZAAR $ZAAR @Ordzaar @OdinSwap","C:/Users/micro/OneDrive/Desktop/Projects/Scripts/Ordzaar_Automation/images/o9.jpg"

"🎨 The 'Yin Yang Cursed' inscriptions introduce a whole new level of provenance on Bitcoin Ordinals. A game changer!
#ZAAR $ZAAR @Ordzaar @OdinSwap","C:/Users/micro/OneDrive/Desktop/Projects/Scripts/Ordzaar_Automation/images/o10.jpg"

"🏆 Over 750,000 strong! Ordzaar's community is leading the way in Bitcoin Ordinals. Are you in?
#ZAAR $ZAAR @Ordzaar @OdinSwap","C:/Users/micro/OneDrive/Desktop/Projects/Scripts/Ordzaar_Automation/images/o11.jpg"

"🔑 Ordzaar Pass holders get exclusive perks and airdrops. Get yours before they’re gone!
#ZAAR $ZAAR @Ordzaar @OdinSwap","C:/Users/micro/OneDrive/Desktop/Projects/Scripts/Ordzaar_Automation/images/o12.jpg"

"💻 Ordzaar Studio Mode lets creators launch collections without technical skills. A true permissionless platform!
#ZAAR $ZAAR @Ordzaar @OdinSwap","C:/Users/micro/OneDrive/Desktop/Projects/Scripts/Ordzaar_Automation/images/o13.jpg"

"🌍 Ordzaar partners with Bali Blockchain Center to immortalize Balinese art as digital artifacts. History on the blockchain!
#ZAAR $ZAAR @Ordzaar @OdinSwap","C:/Users/micro/OneDrive/Desktop/Projects/Scripts/Ordzaar_Automation/images/o14.jpg"

"💰 Provide liquidity on OdinSwap and earn daily XP rewards! Get started now and maximize your earnings.
#ZAAR $ZAAR @Ordzaar @OdinSwap","C:/Users/micro/OneDrive/Desktop/Projects/Scripts/Ordzaar_Automation/images/o15.jpg"

"📚 With over 30 workshops and meetups, Ordzaar is bringing the world into the Bitcoin Ordinals ecosystem. Learn and join the future!
#ZAAR $ZAAR @Ordzaar @OdinSwap","C:/Users/micro/OneDrive/Desktop/Projects/Scripts/Ordzaar_Automation/images/o16.jpg"

"🎉 Join Phase 1 of the $ZAAR airdrop! Fair and inclusive rewards for active users. Don’t miss out!
#ZAAR $ZAAR @Ordzaar @OdinSwap","C:/Users/micro/OneDrive/Desktop/Projects/Scripts/Ordzaar_Automation/images/o17.jpg"

"⚡️ OdinSwap revolutionizes DeFi on Bitcoin with seamless Rune to BTC swaps. The future is here!
#ZAAR $ZAAR @Ordzaar @OdinSwap","C:/Users/micro/OneDrive/Desktop/Projects/Scripts/Ordzaar_Automation/images/o18.jpg"
